LANGKEY;LANGCODE;LANGVALUE;REP_TYPE
#MX_SAPC_IDEN_REP_START_MENU_;DE;Start Menü;ABAP
#MX_SAPC_IDEN_REP_USER_CATEGORY_;DE;Benutzerkategorie;ABAP
#MX_SAPC_IDEN_REP_LASTLOGON_DATETIME_;DE;Datum und Zeit der letzten Anmeldung;ABAP
#MX_SAPC_IDEN_REP_CREATION_DATE_;DE;Anlage Datum;ABAP
#MX_SAPC_IDEN_REP_CREATED_BY_;DE;Angelegt von;ABAP
#MX_SAPC_IDEN_REP_PARAMETER_;DE;Benutzer Parameter;ABAP
#MX_SAPC_IDEN_REP_PRINTERSETTINGS_SPLD_;DE;Standarddrucker;ABAP
#MX_ACCOUNT;DE;Benutzerkonto;ABAP
#MX_ACCOUNT;DE;Benutzerkonto;ASJAVA
#MX_ACCOUNT;EN;User Account;ASJAVA
#MX_SAPC_IDEN_REP_ENCRYPTED_PASSWORD_;DE;Initial Kennwort;ASJAVA
#MX_SAPC_IDEN_REP_ENCRYPTED_PASSWORD_;EN;Initial Password;ASJAVA
#MX_SAPC_IDEN_REP_PASSWORD_DISABLED_;DE;Kennwort deaktiviert;ASJAVA
#MX_SAPC_IDEN_REP_PASSWORD_DISABLED_;EN;Password Disabled;ASJAVA
#MX_SAPC_IDEN_REP_VALIDFROM_;DE;Gültig von;ASJAVA
#MX_SAPC_IDEN_REP_VALIDTO_;DE;Gültig bis;ASJAVA
#MX_SAPC_IDEN_REP_VALIDFROM_;EN;Valid From;ASJAVA
#MX_SAPC_IDEN_REP_VALIDTO_;EN;Valid Through;ASJAVA
#MX_SAPC_IDEN_REP_DISABLED_;DE;Konto deaktiviert;ASJAVA
#MX_SAPC_IDEN_REP_DISABLED_;EN;Account is Disabled;ASJAVA
#MX_ACCOUNT;DE;Benutzerkonto;AD
#MX_ACCOUNT;EN;User Account;AD
#MX_SAPC_IDEN_REP_ENCRYPTED_PASSWORD_;DE;Initial Kennwort;AD
#MX_SAPC_IDEN_REP_ENCRYPTED_PASSWORD_;EN;Initial Password;AD
#MX_SAPC_IDEN_REP_VALIDTO_;DE;Gültig bis;AD
#MX_SAPC_IDEN_REP_VALIDTO_;EN;Valid Through;AD
#MX_SAPC_IDEN_REP_PASSWORD_NOTREQUIRED_;DE;Passwort nicht benötigt;AD
#MX_SAPC_IDEN_REP_PASSWORD_NOTREQUIRED_;EN;Password Not Required;AD
#MX_SAPC_IDEN_REP_DISABLED_;DE;Konto deaktiviert;AD
#MX_SAPC_IDEN_REP_DISABLED_;EN;Account is Disabled;AD
#MX_ACCOUNT;DE;Benutzerkonto;HANA
#MX_ACCOUNT;EN;User Account;HANA
#MX_SAPC_IDEN_REP_ENCRYPTED_PASSWORD_;DE;Initial Kennwort;HANA
#MX_SAPC_IDEN_REP_ENCRYPTED_PASSWORD_;EN;Initial Password;HANA
#MX_SAPC_IDEN_REP_PASSWORD_DISABLED_;DE;Kennwort deaktiviert;HANA
#MX_SAPC_IDEN_REP_PASSWORD_DISABLED_;EN;Password Disabled;HANA
#MX_SAPC_IDEN_REP_VALIDFROM_;DE;Gültig von;HANA
#MX_SAPC_IDEN_REP_VALIDTO_;DE;Gültig bis;HANA
#MX_SAPC_IDEN_REP_VALIDFROM_;EN;Valid From;HANA
#MX_SAPC_IDEN_REP_VALIDTO_;EN;Valid Through;HANA
#MX_SAPC_IDEN_REP_DISABLED_;DE;Konto deaktiviert;HANA
#MX_SAPC_IDEN_REP_DISABLED_;EN;Account is Disabled;HANA
#MX_SAPC_IDEN_REP_HANA_PARAMETERS_;DE;HANA Benutzerparameter;HANA
#MX_SAPC_IDEN_REP_HANA_PARAMETERS_;EN;HANA User Parameters;HANA
