LANGKEY;LANGCODE;LANGVALUE;REP_TYPE
#MX_SAPC_IDEN_REP_DISABLED_;EN;Account is Disabled;ABAP
#MX_SAPC_IDEN_REP_ENCRYPTED_PASSWORD_;EN;Initial Password;ABAP
#MX_SAPC_IDEN_REP_PASSWORD_DISABLED_;EN;Password Disabled;ABAP
#MX_SAPC_IDEN_REP_VALIDFROM_;EN;Valid From;ABAP
#MX_SAPC_IDEN_REP_VALIDTO_;EN;Valid Through;ABAP
#MX_SAPC_IDEN_REP_LOCKED_WRONG_LOGON_;EN;Locked by Wrong Logon;ABAP
#MX_SAPC_IDEN_REP_ADMIN_UNIT_;EN;User Group;ABAP
#MX_SAPC_IDEN_REP_LASTMODDATE_;EN;Last Modification Date;ABAP
#MX_SAPC_IDEN_REP_LASTMODTIME_;EN;Last Modification Time;ABAP
#MX_SAPC_IDEN_REP_LASTMODIFIER_;EN;Last Modified By;ABAP
#MX_SAPC_IDEN_REP_LICENSE_TYPE_;EN;License Type;ABAP
#MX_SAPC_IDEN_REP_LICENSE_COUNTRY_SURCHARGE_;EN;License Country Surcharge;ABAP
#MX_SAPC_IDEN_REP_LICENSE_SPEC_VERS_;EN;License Special Version;ABAP
#MX_SAPC_IDEN_REP_START_MENU_;EN;Start Menu;ABAP
#MX_SAPC_IDEN_REP_USER_CATEGORY_;EN;User Category;ABAP
#MX_SAPC_IDEN_REP_LASTLOGON_DATETIME_;EN;Last Logon Date & Time;ABAP
#MX_SAPC_IDEN_REP_CREATION_DATE_;EN;Creation Date;ABAP
#MX_SAPC_IDEN_REP_CREATED_BY_;EN;Created By;ABAP
#MX_SAPC_IDEN_REP_PARAMETER_;EN;User Parameter;ABAP
#MX_SAPC_IDEN_REP_PRINTERSETTINGS_SPLD_;EN;Default Printer;ABAP
#MX_ACCOUNT;EN;User Account;ABAP
#MX_SAPC_IDEN_REP_DISABLED_;DE;Konto deaktiviert;ABAP
#MX_SAPC_IDEN_REP_ENCRYPTED_PASSWORD_;DE;Initial Kennwort;ABAP
#MX_SAPC_IDEN_REP_PASSWORD_DISABLED_;DE;Kennwort deaktiviert;ABAP
#MX_SAPC_IDEN_REP_VALIDFROM_;DE;Gültig von;ABAP
#MX_SAPC_IDEN_REP_VALIDTO_;DE;Gültig bis;ABAP
#MX_SAPC_IDEN_REP_LOCKED_WRONG_LOGON_;DE;Gesperrt durch Fehlanmeldungen;ABAP
#MX_SAPC_IDEN_REP_ADMIN_UNIT_;DE;Benutzergruppe;ABAP
#MX_SAPC_IDEN_REP_LASTMODDATE_;DE;Datum der letzten Änderung;ABAP
#MX_SAPC_IDEN_REP_LASTMODTIME_;DE;Zeit der letzten Änderung;ABAP
#MX_SAPC_IDEN_REP_LASTMODIFIER_;DE;Letzte Änderung durch;ABAP
#MX_SAPC_IDEN_REP_LICENSE_TYPE_;DE;Lizenztyp;ABAP
#MX_SAPC_IDEN_REP_LICENSE_COUNTRY_SURCHARGE_;DE;Lizenz Landesaufschlag;ABAP
#MX_SAPC_IDEN_REP_LICENSE_SPEC_VERS_;DE;Lizenz Spezielle Version;ABAP
