MSKEYVALUE;DISPLAYNAME;DESCRIPTION
SAPC_PRIV:FORM:SAPC_CONFIGITEM_SEARCH;Access to Form SAPC_Configitem_Search;Access to Form SAPC_Configitem_Search
SAPC_PRIV:FORM:SAPC_CONFIGITEM_CREATE;Access to Form SAPC_Configitem_Create;Access to Form SAPC_Configitem_Create
SAPC_PRIV:FORM:SAPC_CONFIGITEM_DISPLAY;Access to Form SAPC_Configitem_Display;Access to Form SAPC_Configitem_Display
SAPC_PRIV:FORM:SAPC_CONFIGITEM_MODIFY;Access to Form SAPC_Configitem_Modify;Access to Form SAPC_Configitem_Modify
SAPC_PRIV:FORM:SAPC_CONFIGITEM_DELETE;Access to Form SAPC_Configitem_Delete;Access to Form SAPC_Configitem_Delete
SAPC_PRIV:FORM:SAPC_REQUEST_DISPLAY;Access to Form SAPC_REQUEST_Display;Access to Form SAPC_REQUEST_Display
SAPC_PRIV:FORM:SAPC_MASS_ADMINISTRATION_DELETE_REQUEST;Access to Form SAPC Mass Administration - Delete Request;Access to Form SAPC Mass Administration - Delete Request
SAPC_PRIV:FORM:SAPC_REQUEST_SEARCH;Access to Form SAPC_REQUEST_Search;Access to Form SAPC_REQUEST_Search
SAPC_PRIV:FORM:SAPC_MASS_ADMINISTRATION;Access to Form SAPC Mass Administration;Access to Form SAPC Mass Administration
SAPC_PRIV:FORM:SAPC_DISPLAY_COMPANY_ADDRESS_COMPLETE_DATA;Access to Form SAPC Display Company Address - Complete Data;Access to Form SAPC Display Company Address - Complete Data
SAPC_PRIV:FORM:SAPC_CREATE_COMPANY_ADDRESS;Access to Form SAPC Create Company Address;Access to Form SAPC Create Company Address
SAPC_PRIV:FORM:SAPC_RULEENGINE_DISPLAY_DYNAMIC_GROUP;Access to Form SAPC RuleEngine: Display Dynamic Group;Access to Form SAPC RuleEngine: Display Dynamic Group
SAPC_PRIV:FORM:SAPC_RULEENGINE_RECALCULATE_DYNAMIC_GROUP_MEMBERS;Access to Form SAPC RuleEngine: Recalculate Dynamic Group Members;Access to Form SAPC RuleEngine: Recalculate Dynamic Group Members
SAPC_PRIV:FORM:SAPC_DISPLAY_GROUP_COMPLETE_DATA;Access to Form SAPC Display Group - Complete Data;Access to Form SAPC Display Group - Complete Data
SAPC_PRIV:FORM:SAPC_CHANGE_IDENTITY_BASIC;Access to Form SAPC Change Identity - Basic;Access to Form SAPC Change Identity - Basic
SAPC_PRIV:FORM:SAPC_DISPLAY_IDENTITY_BASIC;Access to Form SAPC Display Identity - Basic;Access to Form SAPC Display Identity - Basic
SAPC_PRIV:FORM:SAPC_REPAIR_USERS_AT_ROLE;Access to Form SAPC Repair Users At Role;Access to Form SAPC Repair Users At Role
SAPC_PRIV:FORM:SAPC_CHANGE_IDENTITY_EXTENDED;Access to Form SAPC Change Identity - Extended;Access to Form SAPC Change Identity - Extended
SAPC_PRIV:FORM:SAPC_USER_AUTHORIZATION_REPORT;Access to Form SAPC User Authorization Report;Access to Form SAPC User Authorization Report
SAPC_PRIV:FORM:SAPC_CREATE_DYNAMIC_GROUP;Access to Form SAPC Create Dynamic Group;Access to Form SAPC Create Dynamic Group
SAPC_PRIV:FORM:SAPC_DISABLE_ENABLE_IDENTITY;Access to Form SAPC Disable Enable Identity;Access to Form SAPC Disable Enable Identity
SAPC_PRIV:FORM:SAPC_COPY_IDENTITY_BASIC_(CREATE);Access to Form SAPC Copy Identity - Basic (Create);Access to Form SAPC Copy Identity - Basic (Create)
SAPC_PRIV:FORM:SAPC_DISPLAY_GROUP_BASIC;Access to Form SAPC Display Group - Basic;Access to Form SAPC Display Group - Basic
